,trees,strength_a,strength_b,strength_c,action_a,action_b,action_c,reward,blame_a,blame_b,blame_c,w,rationality_beta,k
285,2,1,3,3,0,1,0,4.0,0.20366670002296514,0.48439531331312186,0.5156046866868782,0.5,1,1
286,2,1,3,3,0,0,1,4.0,0.20366670002296514,0.5156046866868782,0.48439531331312186,0.5,1,1
287,2,1,3,3,0,0,0,0.0,0.20366670002296514,0.7656046866868782,0.7656046866868782,0.5,1,1
288,2,2,1,1,1,1,1,0.0,0.7189117495571009,0.5,0.5,0.5,1,1
289,2,2,1,1,1,1,0,1.0,0.4689117495571009,0.75,0.5,0.5,1,1
290,2,2,1,1,1,0,1,1.0,0.4689117495571009,0.5,0.75,0.5,1,1
291,2,2,1,1,1,0,0,2.0,0.38557841622376754,0.41666666666666663,0.41666666666666663,0.5,1,1
292,2,2,1,1,0,1,1,2.0,0.4477549171095657,0.41666666666666663,0.41666666666666663,0.5,1,1
293,2,2,1,1,0,1,0,0.0,0.5310882504428991,0.5,0.75,0.5,1,1
294,2,2,1,1,0,0,1,0.0,0.5310882504428991,0.75,0.5,0.5,1,1
295,2,2,1,1,0,0,0,0.0,0.7810882504428991,0.5,0.5,0.5,1,1
296,2,2,1,2,1,1,1,0.0,0.48439531331312186,0.546333299977035,0.48439531331312186,0.5,1,1
297,2,2,1,2,1,1,0,2.0,0.40106197997978854,0.796333299977035,0.43227135335354483,0.5,1,1
298,2,2,1,2,1,0,1,1.0,0.7343953133131218,0.2036667000229651,0.7343953133131218,0.5,1,1
299,2,2,1,2,1,0,0,3.0,0.48439531331312186,0.2036667000229651,0.5156046866868782,0.5,1,1
300,2,2,1,2,0,1,1,2.0,0.43227135335354483,0.796333299977035,0.40106197997978854,0.5,1,1
301,2,2,1,2,0,1,0,0.0,0.5156046866868782,0.546333299977035,0.5156046866868782,0.5,1,1
302,2,2,1,2,0,0,1,3.0,0.5156046866868782,0.2036667000229651,0.48439531331312186,0.5,1,1
303,2,2,1,2,0,0,0,0.0,0.7656046866868782,0.2036667000229651,0.7656046866868782,0.5,1,1
304,2,2,1,3,1,1,1,0.0,0.2036667000229651,0.5463332999770348,0.5156046866868782,0.5,1,1
305,2,2,1,3,1,1,0,3.0,0.2036667000229651,0.7963332999770348,0.23439531331312186,0.5,1,1
306,2,2,1,3,1,0,1,1.0,0.2036667000229651,0.20366670002296514,0.7656046866868782,0.5,1,1
307,2,2,1,3,1,0,0,4.0,0.2036667000229651,0.20366670002296514,0.23439531331312186,0.5,1,1
308,2,2,1,3,0,1,1,2.0,0.4629999666437016,0.46299996664370147,0.43227135335354483,0.5,1,1
309,2,2,1,3,0,1,0,0.0,0.546333299977035,0.5463332999770348,0.23439531331312186,0.5,1,1
310,2,2,1,3,0,0,1,3.0,0.546333299977035,0.20366670002296514,0.5156046866868782,0.5,1,1
311,2,2,1,3,0,0,0,0.0,0.796333299977035,0.20366670002296514,0.23439531331312186,0.5,1,1
312,2,2,2,1,1,1,1,0.0,0.48439531331312186,0.48439531331312186,0.546333299977035,0.5,1,1
313,2,2,2,1,1,1,0,1.0,0.7343953133131218,0.7343953133131218,0.2036667000229651,0.5,1,1
314,2,2,2,1,1,0,1,2.0,0.40106197997978854,0.43227135335354483,0.796333299977035,0.5,1,1
315,2,2,2,1,1,0,0,3.0,0.48439531331312186,0.5156046866868782,0.2036667000229651,0.5,1,1
316,2,2,2,1,0,1,1,2.0,0.43227135335354483,0.40106197997978854,0.796333299977035,0.5,1,1
317,2,2,2,1,0,1,0,3.0,0.5156046866868782,0.48439531331312186,0.2036667000229651,0.5,1,1
318,2,2,2,1,0,0,1,0.0,0.5156046866868782,0.5156046866868782,0.546333299977035,0.5,1,1
319,2,2,2,1,0,0,0,0.0,0.7656046866868782,0.7656046866868782,0.2036667000229651,0.5,1,1
320,2,2,2,2,1,1,1,0.0,0.5310882504428991,0.5310882504428991,0.5310882504428991,0.5,1,1
321,2,2,2,2,1,1,0,2.0,0.7810882504428991,0.7810882504428991,0.38557841622376765,0.5,1,1
322,2,2,2,2,1,0,1,2.0,0.7810882504428991,0.38557841622376765,0.7810882504428991,0.5,1,1
323,2,2,2,2,1,0,0,4.0,0.5310882504428991,0.46891174955710097,0.46891174955710097,0.5,1,1
324,2,2,2,2,0,1,1,2.0,0.38557841622376765,0.7810882504428991,0.7810882504428991,0.5,1,1
325,2,2,2,2,0,1,0,4.0,0.46891174955710097,0.5310882504428991,0.46891174955710097,0.5,1,1
326,2,2,2,2,0,0,1,4.0,0.46891174955710097,0.46891174955710097,0.5310882504428991,0.5,1,1
327,2,2,2,2,0,0,0,0.0,0.7189117495571009,0.7189117495571009,0.7189117495571009,0.5,1,1
328,2,2,2,3,1,1,1,0.0,0.5156046866868781,0.5156046866868781,0.5756774323330272,0.5,1,1
329,2,2,2,3,1,1,0,3.0,0.7656046866868781,0.7656046866868781,0.17432256766697288,0.5,1,1
330,2,2,2,3,1,0,1,2.0,0.4322713533535447,0.40106197997978854,0.8256774323330272,0.5,1,1
331,2,2,2,3,1,0,0,5.0,0.5156046866868781,0.4843953133131219,0.17432256766697288,0.5,1,1
332,2,2,2,3,0,1,1,2.0,0.40106197997978854,0.4322713533535447,0.8256774323330272,0.5,1,1
333,2,2,2,3,0,1,0,5.0,0.4843953133131219,0.5156046866868781,0.17432256766697288,0.5,1,1
334,2,2,2,3,0,0,1,4.0,0.4843953133131219,0.4843953133131219,0.5756774323330272,0.5,1,1
335,2,2,2,3,0,0,0,0.0,0.7343953133131219,0.7343953133131219,0.17432256766697288,0.5,1,1
336,2,2,3,1,1,1,1,0.0,0.2036667000229651,0.5156046866868782,0.5463332999770348,0.5,1,1
337,2,2,3,1,1,1,0,1.0,0.2036667000229651,0.7656046866868782,0.20366670002296514,0.5,1,1
338,2,2,3,1,1,0,1,3.0,0.2036667000229651,0.23439531331312186,0.7963332999770348,0.5,1,1
339,2,2,3,1,1,0,0,4.0,0.2036667000229651,0.23439531331312186,0.20366670002296514,0.5,1,1
340,2,2,3,1,0,1,1,2.0,0.4629999666437016,0.43227135335354483,0.46299996664370147,0.5,1,1
341,2,2,3,1,0,1,0,3.0,0.546333299977035,0.5156046866868782,0.20366670002296514,0.5,1,1
342,2,2,3,1,0,0,1,0.0,0.546333299977035,0.23439531331312186,0.5463332999770348,0.5,1,1
343,2,2,3,1,0,0,0,0.0,0.796333299977035,0.23439531331312186,0.20366670002296514,0.5,1,1
344,2,2,3,2,1,1,1,0.0,0.5156046866868781,0.5756774323330272,0.5156046866868781,0.5,1,1
345,2,2,3,2,1,1,0,2.0,0.4322713533535447,0.8256774323330272,0.40106197997978854,0.5,1,1
346,2,2,3,2,1,0,1,3.0,0.7656046866868781,0.17432256766697288,0.7656046866868781,0.5,1,1
347,2,2,3,2,1,0,0,5.0,0.5156046866868781,0.17432256766697288,0.4843953133131219,0.5,1,1
348,2,2,3,2,0,1,1,2.0,0.40106197997978854,0.8256774323330272,0.4322713533535447,0.5,1,1
349,2,2,3,2,0,1,0,4.0,0.4843953133131219,0.5756774323330272,0.4843953133131219,0.5,1,1
350,2,2,3,2,0,0,1,5.0,0.4843953133131219,0.17432256766697288,0.5156046866868781,0.5,1,1
351,2,2,3,2,0,0,0,0.0,0.7343953133131219,0.17432256766697288,0.7343953133131219,0.5,1,1
352,2,2,3,3,1,1,1,0.0,0.25,0.5612296656009272,0.5612296656009272,0.5,1,1
353,2,2,3,3,1,1,0,3.0,0.25,0.8112296656009272,0.1887703343990727,0.5,1,1
354,2,2,3,3,1,0,1,3.0,0.25,0.1887703343990727,0.8112296656009272,0.5,1,1
355,2,2,3,3,1,0,0,6.0,0.25,0.1887703343990727,0.1887703343990727,0.5,1,1
356,2,2,3,3,0,1,1,2.0,0.41666666666666663,0.477896332267594,0.477896332267594,0.5,1,1
