"","sID","trial","trial_ix","A_strength","B_strength","C_strength","A_choice","B_choice","C_choice","trees","fish"
"270",8,4,"12","???","???","???","trees","???","???","???","???"
"271",8,5,"15","???","???","???","???","trees","???","???","???"
"272",8,6,"29","???","???","???","fish","???","fish","???","???"
"273",8,7,"16","???","???","???","???","???","trees","???","???"
"274",8,8,"17","???","???","???","trees","???","fish","1 tree","???"
"275",8,9,"0","???","???","???","???","???","???","1 tree","???"
"276",8,10,"28","???","???","???","???","fish","fish","???","???"
"277",8,11,"13","???","???","???","???","fish","???","???","???"
"278",8,12,"att1","???","???","???","???","???","???","???","4"
"279",8,13,"31","???","???","???","???","trees","fish","???","???"
"280",8,14,"10","???","???","1","???","???","???","???","???"
"281",8,15,"22","???","???","???","???","???","???","3 trees","???"
"282",8,16,"6","1","???","???","???","???","???","???","???"
"283",8,17,"1","???","???","???","???","???","???","1 tree","???"
"284",8,18,"25","???","???","???","???","fish","???","???","???"
"285",8,19,"34","???","???","2","???","???","???","???","???"
"286",8,20,"8","???","???","1","???","???","???","???","???"
"287",8,21,"19","???","2","???","???","fish","???","???","???"
"288",8,22,"33","???","2","???","???","???","???","???","???"
"289",8,23,"35","???","???","???","fish","???","???","???","???"
"290",8,24,"att2","???","???","???","???","???","???","???","0"
"291",8,25,"5","???","???","???","???","???","???","3 trees","???"
"292",8,26,"3","???","???","???","???","???","???","3 trees","???"
"293",8,27,"23","???","???","???","???","???","???","3 trees","???"
"294",8,28,"32","???","???","2","???","???","???","???","???"
"295",8,29,"2","???","???","???","???","???","???","1 tree","???"
"296",8,30,"30","???","???","???","trees","fish","???","???","???"
"297",8,31,"24","???","???","???","???","???","???","1 tree","???"
"298",8,32,"4","???","???","???","???","???","???","1 tree","???"
"299",8,33,"21","???","???","???","trees","fish","???","???","???"
"300",8,34,"9","???","1","???","???","???","???","???","???"
"301",8,35,"27","???","???","???","???","fish","???","???","???"
"302",8,36,"26","???","???","???","trees","???","???","???","???"
"303",8,37,"11","???","???","???","trees","???","???","???","???"
"304",8,38,"20","???","???","3","???","???","???","???","???"
"305",9,1,"23","???","???","???","???","???","???","3 trees","???"
"306",9,2,"2","???","???","???","???","???","???","3 trees","???"
"307",9,3,"19","???","3","???","???","fish","???","???","???"
"308",9,4,"0","???","???","???","???","???","???","1 tree","???"
"309",9,5,"29","???","???","???","fish","???","trees","???","???"
"310",9,6,"21","???","???","???","fish","fish","???","???","???"
"311",9,7,"31","???","???","???","???","trees","trees","???","???"
